Exercise,Calories Burn,Weight,Age,Gender,Duration,BMI
Push-ups,461.734,76.7,28,Female,43,32.937171165074055
High Knees,162.52425,60.7,57,Male,18,21.404471877274442
Burpees,343.07,75.4,50,Male,26,28.240165755540538
High Knees,767.9069999999999,95.6,47,Female,54,41.21526396091619
Jumping Jacks,170.81400000000002,58.1,41,Female,21,20.270395209906745
Squats,72.95750000000001,75.8,28,Female,11,21.980896339194807
Squats,176.4175,59.3,57,Female,34,20.640265921807153
Running,555.1481249999999,61.3,40,Female,45,17.85293549731492
Jumping Jacks,239.316,77.7,27,Male,22,24.82935014528525
Skipping,741.8376000000001,71.8,34,Male,48,20.466750224977467
Swimming,131.50620000000004,63.9,43,Female,12,20.722962209619087
High Knees,265.14687499999997,57.5,52,Male,31,17.727211207543714
Sit-ups,264.096,78.6,49,Female,32,26.111004991321245
High Knees,212.058,59.4,58,Male,24,23.794263739785286
Sit-ups,190.113,82.3,46,Female,22,34.79262244212926
Burpees,997.5,95.0,23,Female,60,40.161593341461476
Skipping,501.4464,72.8,37,Female,32,25.580039698253923
Cycling,185.65312500000002,61.5,59,Female,23,27.07999695294994
Burpees,831.6,88.0,24,Male,54,26.392536190765256
Running,763.26075,88.2,30,Female,43,26.279533189679835
Squats,113.00625000000001,86.1,21,Male,15,31.39659035216691
Lunges,243.6,58.0,36,Male,40,19.201203451979108
Skipping,480.9546000000001,53.2,48,Male,42,21.01702655690933
Skipping,837.9252,81.1,30,Female,48,30.978744990305287
Running,492.800875,52.1,35,Male,47,22.759350663930885
Swimming,285.37600000000003,64.0,21,Male,26,27.09144930364393
Squats,203.96249999999998,66.6,57,Male,35,19.354698091411716
High Knees,481.95,90.0,52,Female,36,31.62367545113809
Burpees,429.24,58.4,38,Male,42,17.24952741020794
Swimming,533.5365,61.0,39,Male,51,17.33261805501885
Cycling,441.34124999999995,73.1,32,Female,46,20.74860159818162
Running,162.93199999999996,73.6,54,Male,11,29.149426853355013
High Knees,633.3180000000001,88.7,21,Male,48,32.619876206282655
Burpees,827.4,78.8,48,Male,60,23.024105186267345
Squats,140.525,73.0,47,Male,22,21.032802816897345
Sit-ups,221.067,95.7,49,Female,22,32.46170654956482
Push-ups,229.796,56.6,38,Male,29,19.911376783756822
Running,141.88125,70.5,26,Female,10,25.339440677673682
Lunges,349.1355,81.1,56,Female,41,24.70042736916997
Sit-ups,111.51,70.8,26,Female,15,27.144897391904454
Running,1024.32225,99.8,25,Male,51,33.30706814032088
Cycling,91.8225,63.6,20,Male,11,26.678568552175896
Burpees,726.74,71.6,53,Female,58,26.363229333584684
Swimming,211.95685000000006,72.7,38,Female,17,22.264764494223872
Sit-ups,561.498,92.2,18,Female,58,35.437427381139514
Push-ups,419.8320000000001,71.4,56,Female,42,21.79420652605232
Cycling,392.7,54.4,56,Female,55,15.99841897977141
Skipping,225.23760000000004,65.4,26,Male,16,25.967126570683593
Squats,278.53,69.2,22,Female,46,25.295023313823506
High Knees,338.40625,65.0,25,Male,35,19.75326050356835
High Knees,511.1645,78.1,35,Male,44,26.92909373083112
Swimming,739.9539000000002,79.9,35,Female,54,32.087270951502035
Squats,243.81,64.8,28,Female,43,24.151672503320853
Burpees,113.43499999999999,92.6,20,Female,7,32.460237085926025
Skipping,601.7529000000001,96.4,22,Male,29,32.4718086426885
Lunges,103.341,70.3,35,Male,14,24.09792188845438
Push-ups,50.568000000000005,60.2,22,Female,6,23.90246207270875
Squats,85.4875,97.7,53,Male,10,27.760603015989204
Jumping Jacks,699.608,96.1,51,Female,52,35.9490877124073
Sit-ups,313.6139999999999,52.4,45,Female,57,21.016821077465035
Running,228.21750000000003,56.7,52,Male,20,16.63871050287055
Push-ups,677.7679999999999,93.1,28,Male,52,26.51004762127136
Jumping Jacks,347.35400000000004,57.7,18,Male,43,21.985977747294616
Jumping Jacks,415.38,64.5,60,Male,46,26.16739015781573
Burpees,535.15,69.5,29,Female,44,29.040505864719716
Swimming,346.0527000000001,53.1,19,Male,38,23.134986766003337
Squats,214.62,51.1,36,Male,48,16.2007446635825
Sit-ups,190.8375,72.7,37,Female,25,20.2662997360642
Skipping,313.253325,69.3,23,Male,21,21.798697677227654
Skipping,788.0948250000001,77.9,40,Female,47,34.119961228511336
Swimming,185.99175000000002,72.3,56,Female,15,25.955274359455778
Skipping,1013.8275000000001,78.5,51,Male,60,28.28262157203818
Skipping,332.1738,64.3,46,Female,24,24.713954236521374
Push-ups,738.29,99.5,53,Female,53,31.193217371894626
Running,103.20099999999998,64.1,37,Male,8,19.78395061728395
High Knees,547.8165,83.7,53,Female,44,25.548670675498308
Burpees,136.48250000000002,70.9,45,Male,11,24.1619237389708
Sit-ups,40.5825,77.3,60,Male,5,30.769536964244843
Lunges,362.72249999999997,70.5,60,Male,49,23.692501575299303
Skipping,637.3552500000001,98.7,38,Male,30,32.37640871820913
Lunges,103.32,61.5,58,Male,16,19.10866023124275
Burpees,292.215,72.6,22,Male,23,20.694792010213984
Lunges,251.18099999999998,88.6,59,Male,27,25.41821717313277
Swimming,361.3505,60.2,55,Male,35,25.716604724678543
Jumping Jacks,41.580000000000005,59.4,38,Female,5,18.231904297849155
Push-ups,629.664,93.7,28,Male,48,25.98302202234429
Sit-ups,87.129,92.2,24,Male,9,27.203409808747047
Push-ups,210.55999999999997,75.2,43,Female,20,23.681131051127316
Swimming,743.9670000000001,96.4,25,Male,45,38.22751238825194
Jumping Jacks,459.1019999999999,64.3,33,Female,51,27.612256921959084
Skipping,1155.8925000000002,89.5,49,Female,60,27.684944710536115
Jumping Jacks,195.29999999999998,77.5,38,Female,18,30.425374212473542
High Knees,120.48750000000001,67.5,25,Female,12,27.630313769843163
Lunges,290.1885,95.3,57,Male,29,31.44092817051079
Skipping,633.2439750000001,94.9,25,Female,31,28.839760335209792
Push-ups,406.098,87.9,21,Male,33,28.28031551694904
Jumping Jacks,351.91799999999995,51.3,39,Male,49,14.796466384620445
High Knees,91.793625,56.1,33,Male,11,19.52645730545331
Push-ups,470.82,59.0,40,Male,57,20.106537385039168
Cycling,137.2875,52.3,57,Female,20,20.661475355758604
Lunges,288.813,80.9,58,Female,34,27.31409282267347
Burpees,901.8625000000001,93.7,59,Male,55,32.15677957231141
Jumping Jacks,308.7,88.2,34,Female,25,25.141606822326086
High Knees,202.5975,90.8,19,Male,15,26.96582497457105
Burpees,367.48249999999996,91.3,21,Male,23,29.507954058087034
Running,631.4420000000001,59.2,35,Male,53,21.63967312396462
Cycling,272.86875,69.3,56,Male,30,20.0312174817898
Skipping,238.217175,65.1,46,Female,17,28.2140505971974
Push-ups,229.32,63.0,54,Male,26,20.223258352125452
High Knees,778.9145,98.8,39,Male,53,27.6003557875823
Push-ups,206.528,92.2,56,Female,16,33.218569540661406
Jumping Jacks,570.0659999999999,83.1,33,Male,49,23.891496381056427
Squats,184.52,65.9,21,Female,32,27.7151138632766
Running,77.984375,77.5,42,Male,5,32.38329790670184
Cycling,420.81375,69.7,27,Male,46,19.57442339000368
Squats,426.65000000000003,92.0,37,Male,53,40.78006953888381
Push-ups,114.24,81.6,20,Female,10,23.739452526331586
Skipping,575.6430750000001,56.9,18,Female,47,18.707652975338778
Burpees,631.085,94.9,34,Female,38,31.273026372157585
Burpees,870.1875,97.5,36,Female,51,35.812672176308546
Cycling,374.01,54.8,32,Male,52,21.785834119160565
Cycling,349.25625,88.7,28,Female,30,31.88097004410859
Running,700.4304999999999,79.1,20,Female,44,23.671408529607515
Skipping,659.2677,58.9,54,Male,52,23.065440060400903
Lunges,185.136,92.8,56,Male,19,34.54538753931492
Lunges,319.1580000000001,59.6,57,Male,51,21.141941532599205
Running,350.476875,64.5,26,Female,27,18.524070953222846
High Knees,548.7982499999999,94.6,54,Female,39,31.681348593964326
Jumping Jacks,427.81199999999995,92.6,31,Male,33,27.530387482771204
Cycling,555.8043749999999,79.9,20,Male,53,26.758348336762683
High Knees,338.436,71.1,38,Female,32,28.230316501156015
Running,57.65812499999999,57.3,20,Male,5,21.382440053601638
Swimming,723.3870000000001,70.3,40,Female,60,23.407670723663287
Push-ups,216.71999999999997,64.5,47,Male,24,24.883299255429957
Cycling,314.58000000000004,74.9,31,Male,32,25.704832336885
Skipping,659.2031250000001,62.5,57,Female,49,24.815679062197624
Cycling,573.4575,99.3,55,Female,44,30.243556569156326
Jumping Jacks,138.208,61.7,54,Male,16,21.808870873104187
Lunges,283.5,90.0,59,Male,30,26.699132812166262
Lunges,53.297999999999995,56.4,51,Male,9,16.74969745116528
Swimming,486.78560000000004,88.7,38,Female,32,25.888732155527364
Sit-ups,347.76,55.2,38,Female,60,18.637057154654826
Swimming,508.7890500000001,95.7,54,Female,31,27.105559585355746
Push-ups,446.04,88.5,30,Female,36,30.55091058973959
Cycling,230.81625,97.7,24,Male,18,28.27064936553082
Push-ups,95.746,97.7,55,Male,7,32.568577356538256
Running,363.81975,78.6,27,Female,23,28.082170001454124
Cycling,349.96500000000003,60.6,38,Female,44,21.04306223086323
Burpees,226.10000000000002,76.0,20,Female,17,21.34370412683328
Swimming,560.0161,56.3,34,Female,58,15.827962696612534
Running,834.3824999999999,69.1,37,Male,60,29.595885529453685
Skipping,306.86039999999997,52.8,46,Male,27,23.34200995925758
Skipping,286.713,88.8,58,Female,15,26.77892100851588
Push-ups,334.48800000000006,72.4,23,Female,33,26.755111279459726
Lunges,396.9,94.5,21,Male,40,33.44231872405345
Sit-ups,56.96249999999999,77.5,31,Male,7,21.627208870560178
Lunges,468.2475,99.1,36,Male,45,36.66654826812533
Squats,186.14749999999998,96.7,29,Male,22,30.55445755410777
Swimming,394.45000000000005,50.0,24,Female,46,17.547898744412745
Push-ups,620.2560000000001,92.3,50,Male,48,34.82514231899981
Skipping,390.07605,53.3,34,Male,34,18.206530371601094
Running,554.2425,54.0,46,Male,51,16.574458452590143
Cycling,565.95,98.0,34,Male,44,29.104084223655978
Skipping,89.50095,69.3,28,Male,6,22.602732353968577
Sit-ups,159.93599999999998,54.4,52,Male,28,18.801403607726687
Sit-ups,422.3205,98.1,56,Female,41,32.62652506555238
Swimming,890.4280000000001,88.0,46,Male,59,35.65580960770101
High Knees,703.647,87.6,21,Male,54,28.60408163265306
Jumping Jacks,399.0,75.0,35,Male,38,25.799571727109328
Sit-ups,215.04000000000002,51.2,37,Male,40,16.416802083907815
Jumping Jacks,483.62999999999994,70.5,22,Male,49,24.80127320238261
Burpees,995.505,99.8,46,Male,57,35.9136331102106
Push-ups,298.98400000000004,56.2,42,Male,38,23.75875311358037
Lunges,409.101,84.7,32,Female,46,28.26762195876933
Cycling,220.5,70.0,43,Male,24,25.742856081621035
High Knees,242.49225,74.1,36,Female,22,32.15693626417118
High Knees,507.2969999999999,60.9,38,Female,56,21.32278281572774
Lunges,264.9675,72.1,21,Female,35,27.004190331226425
Burpees,589.96,78.4,20,Male,43,30.245746691871453
Jumping Jacks,290.15000000000003,82.9,38,Male,25,29.12891883221498
Swimming,335.6598000000001,93.2,36,Male,21,34.52556429108311
Squats,176.4175,59.3,33,Female,34,23.33877511181359
Push-ups,709.52,90.5,32,Female,56,38.9142703574308
Burpees,648.41,62.8,30,Female,59,26.618109809027775
Running,737.7825,78.0,56,Male,47,21.975198452946024
High Knees,156.36599999999999,87.6,56,Female,12,35.81216763364969
Push-ups,245.224,60.4,33,Male,29,25.903524809272437
High Knees,335.96675,98.2,19,Male,23,32.36049725759615
Running,563.359125,90.3,38,Male,31,30.487794584516863
High Knees,396.27,55.5,23,Male,48,16.50039422563501
Running,206.94537499999998,79.1,45,Female,13,23.06186995321152
Burpees,474.11,52.1,32,Female,52,14.772246549645521
Push-ups,357.84,71.0,25,Male,36,28.369089040581386
Swimming,410.5710000000001,79.8,23,Female,30,31.76467075998368
Cycling,81.4275,51.7,42,Female,12,17.536783998040768
Squats,28.402499999999996,54.1,43,Male,6,23.980453935365368
Sit-ups,304.794,70.8,37,Male,41,24.240921894585544
Skipping,225.88335000000004,95.4,35,Female,11,41.02123085192154
Swimming,289.6635,56.3,44,Male,30,22.66710041485223
Jumping Jacks,405.02,52.6,51,Male,55,14.803453200965322
Cycling,566.92125,93.9,33,Female,46,30.108158509354375
Running,577.7082499999999,92.6,51,Female,31,30.939891075545454
High Knees,143.67762499999998,74.3,21,Male,13,21.202014391116958
Lunges,125.71649999999998,92.1,56,Male,13,35.61947724066235
Running,85.631875,85.1,36,Male,5,31.524951943896696
Lunges,317.3205,64.3,19,Female,47,27.183057387957607
Swimming,204.42800000000003,74.5,53,Female,16,22.615334410976786
Burpees,757.12,83.2,47,Female,52,29.09618913362251
Push-ups,328.86,78.3,44,Male,30,25.832368056148947
Jumping Jacks,305.172,51.9,58,Male,42,16.850512577008306
Burpees,183.75,52.5,31,Male,20,19.591240886807785
Burpees,660.765,65.1,44,Female,58,19.021183345507666
Burpees,528.4125,54.9,25,Female,55,18.407197381819255
Cycling,234.46500000000003,61.6,40,Female,29,19.954331790651853
Lunges,333.3645,55.7,30,Female,57,17.03955869684392
Lunges,425.81699999999995,75.1,54,Male,54,28.196787293348713
Sit-ups,88.34700000000001,60.1,47,Male,14,17.59829276063042
Lunges,205.9995,85.3,44,Male,23,27.474969754986407
Burpees,77.35000000000001,88.4,43,Male,5,31.65915836061429
Burpees,76.5625,62.5,26,Male,7,27.08722215552746
Swimming,86.9848,63.4,30,Male,8,21.3559405388636
Push-ups,236.76799999999997,60.4,18,Female,28,20.369043909453527
Cycling,291.06000000000006,61.6,35,Female,36,22.764017331695015
Jumping Jacks,244.69199999999998,97.1,59,Male,18,27.472838388411045
Swimming,785.7444,99.6,49,Female,46,41.67161761186486
Running,167.07775,59.3,60,Female,14,22.87720381158134
Swimming,299.19890000000004,67.1,50,Female,26,27.89323749034025
Push-ups,510.04799999999994,79.2,55,Male,46,24.175086230579044
Push-ups,198.01600000000002,54.4,31,Male,26,23.985509930177475
Lunges,158.80199999999996,79.6,26,Female,19,24.87095069833942
Skipping,420.51240000000007,59.2,43,Female,33,18.747650605862635
Burpees,363.755,54.7,35,Female,38,15.67593963932156
Swimming,683.4618,73.8,44,Female,54,31.32128722851171
Squats,23.231250000000003,53.1,23,Male,5,18.50408902034962
Squats,118.335,64.4,53,Female,21,23.258367233727807
Burpees,611.24,59.2,50,Female,59,20.104215908411714
Running,912.7693750000001,96.5,28,Female,47,27.59587062827075
Running,499.1000000000001,99.2,60,Male,25,33.57066303074727
Skipping,783.5100000000001,70.0,45,Female,52,20.653348010979318
Sit-ups,154.22400000000002,86.4,40,Female,17,37.10262827460755
Sit-ups,185.0625,70.5,42,Female,25,22.276000595290565
Cycling,383.1975,81.1,32,Female,36,25.625299975575388
Squats,241.17624999999998,64.1,28,Female,43,25.873106338870684
Skipping,245.79397500000002,60.1,59,Male,19,19.78243273890579
Skipping,724.5315000000002,99.0,30,Female,34,39.0124875426034
Lunges,559.188,95.1,27,Male,56,38.9280420668457
Jumping Jacks,225.316,61.9,42,Male,26,18.97820602912158
Burpees,761.25,72.5,19,Female,60,24.084578395302675
Cycling,171.64875,50.3,28,Female,26,22.17777848323395
Burpees,379.925,83.5,18,Female,26,29.479373088474482
Jumping Jacks,86.394,56.1,24,Male,11,19.095948118929975
Running,129.464125,91.9,21,Female,7,27.713770728407763
Running,736.836625,89.3,30,Female,41,26.43385143287459
Jumping Jacks,94.584,56.3,32,Male,12,19.64239673524526
Push-ups,110.656,98.8,28,Female,8,37.36937738381074
Push-ups,116.424,69.3,35,Male,12,21.17659353866378
Squats,109.935,69.8,48,Female,18,30.33082763616391
Burpees,268.6425,90.3,56,Female,17,33.53285941710755
Running,122.15875,60.7,19,Female,10,20.025858761280222
Sit-ups,158.193,83.7,20,Female,18,26.417119050624922
Lunges,311.21999999999997,52.0,40,Female,57,16.56059393933218
High Knees,77.02274999999999,86.3,47,Female,6,25.161054070318006
High Knees,273.105,61.2,41,Male,30,18.5984545048982
Swimming,556.7747500000002,75.5,40,Female,43,20.95822678411416
Lunges,397.9920000000001,82.4,22,Male,46,24.049960875033314
Jumping Jacks,424.592,89.2,50,Female,34,29.327287265381706
Running,71.44375,71.0,27,Male,5,20.925656741421367
Cycling,100.14375,76.3,36,Male,10,26.96947889169934
Cycling,307.23,83.6,44,Female,28,31.196718821659633
Running,623.7945,86.1,58,Male,36,35.15397727852688
Skipping,185.71770000000004,71.9,60,Male,12,23.264362103486615
Push-ups,455.0559999999999,95.6,55,Female,34,36.248149676041635
Running,431.8825,58.0,21,Female,37,21.04804761213529
Skipping,542.4300000000001,70.0,18,Female,36,20.925248733947722
Skipping,670.2024000000001,55.6,44,Female,56,18.385507722739927
Sit-ups,83.2545,88.1,34,Female,9,29.814268276298733
High Knees,236.51250000000002,79.5,60,Male,20,24.923223930307767
Push-ups,310.31,71.5,45,Female,31,21.37364692110374
Burpees,490.03499999999997,71.8,27,Male,39,26.793354203291408
High Knees,610.47,76.0,48,Female,54,22.230015727736127
Lunges,316.6275,81.5,55,Male,37,35.27527700831025
Skipping,570.5201250000001,85.5,55,Female,31,24.03713695489115
Jumping Jacks,150.024,56.4,49,Male,19,21.437661257584907
Skipping,341.3004,99.1,37,Female,16,33.97018576309856
Cycling,598.5525,87.7,57,Female,52,29.000162361228266
Running,829.02925,95.8,31,Female,43,41.464681440443215
Squats,372.12,88.6,47,Male,48,25.748141905391563
Running,90.965,90.4,18,Female,5,25.253766833982187
Sit-ups,191.35200000000003,53.6,28,Female,34,22.25263046019769
Burpees,312.375,52.5,55,Male,34,22.934086561542635
Skipping,599.8802250000001,89.9,42,Female,31,30.67271159053193
Push-ups,304.304,83.6,45,Female,26,25.46184621532194
Squats,219.09125000000003,51.1,46,Male,49,19.09212642200848
Jumping Jacks,187.30599999999998,78.7,19,Female,17,26.448225162780926
Running,317.57250000000005,52.6,47,Male,30,21.809355550128554
Lunges,89.9535,65.9,25,Female,13,26.667378875874892
Running,140.875,87.5,41,Male,8,25.732751116360262
Burpees,352.1875,87.5,28,Female,23,38.837088842836735
Running,316.1235,74.8,53,Female,21,24.17519127650504
Jumping Jacks,266.84000000000003,95.3,56,Male,20,42.074590788181155
High Knees,263.40650000000005,93.2,46,Male,19,29.25091605269559
Jumping Jacks,328.272,97.7,47,Female,24,31.975084961433524
Lunges,113.1165,56.7,19,Male,19,20.0177299894192
Running,490.28525,93.7,50,Male,26,28.318757383806208
Swimming,259.51380000000006,58.2,21,Female,26,20.59622169036943
Cycling,170.296875,86.5,33,Male,15,25.21936474023763
Skipping,58.11750000000001,54.0,46,Female,5,19.087180342749207
Swimming,933.3030000000002,90.7,42,Male,60,29.082108379110135
Burpees,276.815,71.9,53,Female,22,25.535535947925972
Swimming,663.3620000000001,96.7,37,Female,40,40.04280066056128
Swimming,141.6933,91.8,48,Female,9,36.449269406555864
Running,137.655,85.5,19,Male,8,33.31509770090758
Push-ups,664.216,81.8,28,Male,58,25.135077998633243
Swimming,704.8650000000001,68.5,44,Female,60,25.750321127179895
Cycling,396.27,88.8,31,Male,34,27.015770456003686
High Knees,590.3589999999999,96.8,54,Male,41,41.13624426089898
Running,494.109,55.8,31,Male,44,16.662187583982796
Cycling,599.6025,84.6,30,Male,54,29.76152784285913
Lunges,607.95,96.5,23,Male,60,27.2161489628673
Push-ups,92.70799999999998,94.6,35,Male,7,40.306362440264785
Sit-ups,38.44049999999999,52.3,18,Female,7,18.118195067485946
Jumping Jacks,285.93600000000004,55.2,22,Male,37,19.887907143649777
Swimming,248.24625000000003,96.5,31,Male,15,33.988148174237686
Swimming,906.6176000000002,94.4,19,Female,56,30.930446142196836
Burpees,137.4975,87.3,34,Female,9,36.43110390000601
Skipping,130.3554,75.7,59,Female,8,22.80337526101882
Running,952.11375,83.0,52,Female,57,32.83097978719196
Squats,252.5775,84.9,55,Male,34,25.886348259501343
Push-ups,169.68,50.5,20,Female,24,22.118845212321208
Skipping,512.07975,61.0,22,Male,39,22.056943797099258
Lunges,378.819,85.9,43,Female,42,37.723734904467605
Burpees,858.585,96.2,25,Male,51,39.12757705122865
Push-ups,456.2880000000001,67.9,23,Female,48,20.81777365714629
Skipping,478.2424500000001,52.9,55,Female,42,19.64438829640077
Skipping,348.3606,57.8,48,Male,28,20.874745747041413
Push-ups,374.75199999999995,95.6,47,Female,28,38.150133545420395
Push-ups,120.792,71.9,22,Male,12,22.340043424818763
Running,640.09575,55.8,52,Female,57,20.372212739934827
Burpees,792.715,78.1,57,Male,58,33.714888598410354
Skipping,96.97012500000001,90.1,22,Female,5,33.09458218549128
Skipping,460.0323000000001,54.8,49,Female,39,22.431721401294894
Sit-ups,196.76999999999998,93.7,41,Male,20,37.77273872511968
Burpees,627.48,74.7,59,Male,48,21.522607814003177
High Knees,571.0512499999999,69.8,51,Female,55,22.844021804586077
Running,625.968,64.8,22,Male,48,22.95918367346939
Squats,327.3375,87.0,59,Male,43,28.834977424201302
Swimming,432.18000000000006,52.5,18,Male,48,20.924204162840525
Push-ups,777.0,92.5,58,Female,60,32.57931301675633
High Knees,709.671375,83.7,43,Female,57,35.292629448473605
Push-ups,297.92,56.0,24,Female,38,23.189212378401564
Swimming,299.6448000000001,67.2,29,Male,26,19.155509959867494
Swimming,414.1725000000001,80.5,52,Female,30,32.90958327064841
Cycling,239.2425,58.8,28,Male,31,25.92551440982418
Jumping Jacks,206.64000000000001,98.4,46,Male,15,36.94492502883507
High Knees,446.13100000000003,65.2,22,Male,46,18.118111748178258
High Knees,454.60974999999996,51.8,31,Male,59,21.756944686538283
Squats,134.015,54.7,50,Female,28,22.333595320968882
Cycling,95.55,56.0,41,Female,13,18.49649887699828
Jumping Jacks,134.06400000000002,68.4,32,Female,14,19.456000000000003
Squats,346.5525,86.1,53,Male,46,29.103569497025422
High Knees,666.6975,99.6,60,Male,45,36.36330446052883
Cycling,171.04500000000002,54.3,54,Male,24,22.866229190362834
Push-ups,152.684,57.4,39,Female,19,17.994881177354287
Skipping,261.0552,75.8,49,Female,16,23.89688902227991
Burpees,493.5,94.0,18,Female,30,26.315052770079227
Sit-ups,229.047,83.9,58,Male,26,31.69471529343679
Sit-ups,438.291,77.3,47,Female,54,29.345563561997146
Jumping Jacks,378.63,60.1,25,Male,45,22.787801208473876
Sit-ups,134.505,85.4,36,Female,15,27.289916375899104
Burpees,561.0500000000001,91.6,47,Male,35,36.05112647963111
Jumping Jacks,157.584,53.6,51,Female,21,18.033925312632903
Jumping Jacks,338.19800000000004,83.3,43,Male,29,29.940076715605922
Lunges,102.47999999999999,97.6,34,Male,10,38.948253494069355
Squats,407.19,83.1,44,Female,56,24.35943623294656
Push-ups,297.724,68.6,58,Male,31,24.597511563698948
Lunges,183.183,79.3,37,Male,22,29.233848298814912
Squats,293.47499999999997,64.5,45,Female,52,20.266092219831485
Squats,298.375,77.5,32,Male,44,23.015984972789166
Running,121.17262500000002,66.9,37,Male,9,27.384710980777893
Running,126.96862499999999,70.1,30,Female,9,24.925959942808973
Push-ups,71.344,72.8,20,Male,7,27.535330703860545
High Knees,96.52387499999999,72.1,41,Female,9,28.881589488863955
High Knees,526.575,88.5,55,Male,40,35.45104951129626
Jumping Jacks,305.2,87.2,43,Female,25,33.97750315227066
Swimming,446.9976000000001,72.4,27,Male,36,25.774517119405793
Push-ups,515.34,81.8,56,Male,45,28.810678970493704
Cycling,662.2874999999999,87.0,54,Female,58,29.37362268940163
Running,780.6889999999999,74.6,31,Female,52,25.75251898298953
Squats,74.025,70.5,28,Female,12,28.674575697625986
Lunges,360.255,73.0,35,Female,47,22.356641101490272
Burpees,543.9,74.0,39,Female,42,28.654970533784017
Burpees,138.60000000000002,66.0,43,Male,12,26.337958305415754
Skipping,725.34945,58.1,50,Female,58,19.593401508927982
Lunges,289.17,61.2,43,Female,45,18.5984545048982
Sit-ups,63.063,54.6,39,Female,11,20.779094252220908
Skipping,179.7768,92.8,36,Female,9,37.8895364860313
Burpees,422.625,80.5,24,Male,30,25.350146936379637
Skipping,1027.3021500000002,97.4,55,Female,49,37.021776710793795
Cycling,79.26187499999997,67.1,36,Female,9,18.74477604601996
Lunges,186.165,98.5,58,Female,18,41.264754244299915
Push-ups,305.046,80.7,33,Female,27,27.469572427765577
Jumping Jacks,513.856,99.2,36,Female,37,33.33753413148498
High Knees,430.94362499999994,78.3,31,Male,37,22.584080271262785
Running,335.80575000000005,92.7,24,Male,18,26.227931190583977
Sit-ups,163.296,97.2,31,Female,16,33.99218249745322
Running,404.11,50.2,45,Female,40,17.187772303788055
Jumping Jacks,375.14400000000006,92.4,18,Female,29,37.822829516051975
Burpees,190.3125,72.5,46,Female,15,23.14149829231702
Push-ups,536.7319999999999,66.1,32,Female,58,23.281000977379385
Burpees,736.435,79.4,21,Female,53,24.780749664492372
Running,620.4135000000001,73.4,57,Female,42,24.299454023711494
Sit-ups,106.59599999999999,56.4,51,Male,18,16.44360891733413
Sit-ups,84.84,50.5,41,Male,16,17.850048283496943
Cycling,520.5374999999999,66.1,59,Male,60,21.027323113608936
Sit-ups,445.557,86.6,35,Female,49,28.11665489728168
Cycling,330.75,56.0,60,Female,45,18.973249074037682
Squats,305.235,68.4,20,Female,51,25.681228373702428
Jumping Jacks,524.496,89.2,43,Female,42,28.153010983461684
Swimming,187.07220000000004,90.9,35,Female,12,35.419209134649115
Running,254.29950000000002,70.2,40,Female,18,19.777678607651424
High Knees,515.59725,65.4,44,Male,53,28.95074787218643
Push-ups,259.14,61.7,51,Female,30,21.425032007331048
Squats,119.4375,91.0,56,Male,15,26.762061161014675
Push-ups,181.818,99.9,44,Female,13,27.848739252170752
